noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
clean,assatigue,mini,2,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Assatigue_k2,0.9333333333333332,0.13333333333333336,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k2/advanced_stats/advanced_stats_k2_mini_report.json,"R_min, G_max","1.3981496281496284, 1.0145228845228849","1.0, 0.6666666666666666, 1.0, 1.0, 1.0"
clean,assatigue,mini,2,wst,KBest_Wst_RGB_Mini_Assatigue_k2,0.8666666666666666,0.16329931618554522,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k2/wst/wst_k2_mini_report.json,"R_WST19_mean, R_WST23_mean","0.9431496281496285, 0.9431496281496285","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
clean,assatigue,mini,2,hybrid,KBest_Hybrid_RGB_Mini_Assatigue_k2,0.9333333333333332,0.13333333333333336,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k2/hybrid/hybrid_k2_mini_report.json,"R_min, G_mad","1.4203718503718508, 1.0287051837051842","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,mini,5,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Assatigue_k5,0.9333333333333332,0.13333333333333336,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k5/advanced_stats/advanced_stats_k5_mini_report.json,"R_min, R_iqr, G_iqr, G_mad, B_min","1.4064829614829617, 1.006482961482962, 0.9792607392607395, 0.9620385170385173, 1.2287051837051841","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,mini,5,wst,KBest_Wst_RGB_Mini_Assatigue_k5,0.8666666666666666,0.16329931618554522,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k5/wst/wst_k5_mini_report.json,"R_WST3_mean, R_WST19_mean, R_WST22_mean, R_WST23_mean, G_WST24_mean","0.8987051837051843, 1.0098162948162952, 0.9042607392607396, 0.8820385170385172, 0.8764829614829617","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
clean,assatigue,mini,5,hybrid,KBest_Hybrid_RGB_Mini_Assatigue_k5,0.9333333333333332,0.13333333333333336,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k5/hybrid/hybrid_k5_mini_report.json,"R_min, R_mad, G_iqr, G_mad, B_min","1.1231496281496285, 0.9898162948162952, 1.001482961482962, 1.0287051837051842, 1.4064829614829617","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,mini,10,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Assatigue_k10,0.9333333333333332,0.13333333333333336,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k10/advanced_stats/advanced_stats_k10_mini_report.json,"R_min, R_iqr, R_grad_mean, G_min, G_iqr, G_mad, G_grad_mean, B_min, B_max, B_p10","0.9231496281496285, 1.0287051837051842, 0.9487051837051841, 0.9114035964035969, 0.8987051837051843, 1.0342607392607397, 0.9042607392607396, 1.031482961482962, 0.9053959003959007, 0.9431496281496285","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,mini,10,wst,KBest_Wst_RGB_Mini_Assatigue_k10,0.7999999999999999,0.16329931618554522,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k10/wst/wst_k10_mini_report.json,"R_WST1_mean, R_WST3_mean, R_WST9_mean, R_WST12_mean, R_WST19_mean, R_WST20_mean, R_WST21_mean, G_WST1_mean, G_WST10_mean, G_WST23_mean","0.9086258186258191, 0.8987051837051838, 0.8971178821178827, 0.8909274059274066, 0.9042607392607396, 0.8931496281496287, 0.8898162948162951, 0.8947369297369303, 0.8836258186258188, 0.8875940725940732","0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666, 1.0"
clean,assatigue,mini,10,hybrid,KBest_Hybrid_RGB_Mini_Assatigue_k10,0.9333333333333332,0.13333333333333336,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k10/hybrid/hybrid_k10_mini_report.json,"R_min, R_iqr, R_mad, G_mad, B_min, B_max, R_WST3_mean, R_WST9_mean, R_WST20_mean, R_WST21_mean","1.3842607392607396, 0.953705183705184, 1.0287051837051842, 0.9398162948162949, 1.117594072594073, 0.9113788063788066, 0.9209274059274062, 0.941562326562327, 0.9153718503718509, 0.9064829614829617","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,mini,20,advanced_stats,KBest_Advanced_Stats_RGB_Mini_Assatigue_k20,0.7999999999999999,0.16329931618554522,5,15,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k20/advanced_stats/advanced_stats_k20_mini_report.json,"R_var, R_min, R_range, R_skew, R_kurt, R_cv, R_iqr, R_mad, R_grad_mean, G_min, G_max, G_kurt, G_iqr, G_mad, G_grad_mean, B_mean, B_min, B_skew, B_p10, B_p25","0.7687051837051841, 1.206482961482962, 0.7998162948162955, 0.8813482813482818, 0.7646816146816151, 0.7887051837051839, 0.917594072594073, 1.0287051837051842, 0.9098162948162953, 0.9558480408480412, 0.9478562178562182, 0.7613482813482819, 0.8987051837051838, 0.917594072594073, 0.7987051837051844, 0.7775940725940731, 0.8953718503718506, 0.8211342361342362, 0.9820385170385175, 0.851482961482962","0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0"
clean,assatigue,mini,20,wst,KBest_Wst_RGB_Mini_Assatigue_k20,0.8666666666666666,0.16329931618554522,5,15,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k20/wst/wst_k20_mini_report.json,"R_WST1_mean, R_WST3_mean, R_WST7_mean, R_WST9_mean, R_WST17_mean, R_WST18_mean, R_WST19_mean, R_WST20_mean, R_WST21_mean, R_WST23_mean, G_WST3_mean, G_WST7_mean, G_WST8_mean, G_WST9_mean, G_WST10_mean, G_WST12_mean, G_WST20_mean, G_WST21_mean, G_WST22_mean, G_WST24_mean","0.8947369297369303, 0.8959274059274065, 0.8764829614829619, 0.9637845487845491, 0.8853718503718508, 0.9264829614829619, 0.9653718503718509, 0.8375940725940729, 0.9598162948162954, 0.9181496281496284, 0.8520385170385174, 0.8353718503718508, 0.8487051837051844, 0.8487051837051844, 0.833625818625819, 0.8591813741813745, 0.8464829614829619, 0.9287051837051841, 0.8937051837051841, 0.8870385170385173","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
clean,assatigue,mini,20,hybrid,KBest_Hybrid_RGB_Mini_Assatigue_k20,0.8666666666666666,0.16329931618554522,5,15,204,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/mini/k20/hybrid/hybrid_k20_mini_report.json,"R_min, R_iqr, R_mad, R_grad_mean, G_max, G_mad, G_grad_mean, B_min, B_p10, R_WST1_mean, R_WST9_mean, R_WST10_mean, R_WST19_mean, R_WST21_mean, R_WST22_mean, R_WST23_mean, G_WST9_mean, G_WST12_mean, G_WST23_mean, G_WST24_mean","1.117594072594073, 1.006482961482962, 1.0287051837051842, 0.8875940725940732, 0.9728562178562183, 0.878705183705184, 0.9487051837051841, 1.3842607392607396, 0.9098162948162953, 0.9169591519591525, 0.8804512154512161, 0.8725147075147079, 0.9431496281496283, 0.8731496281496285, 0.865371850371851, 0.8737051837051841, 0.8931496281496287, 0.9091813741813746, 0.8742607392607398, 0.8764829614829619","0.6666666666666666, 1.0, 0.6666666666666666, 1.0, 1.0"
clean,assatigue,small,2,advanced_stats,KBest_Advanced_Stats_RGB_Small_Assatigue_k2,1.0,0.0,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/small/k2/advanced_stats/advanced_stats_k2_small_report.json,"R_iqr, G_iqr","1.1211635667667732, 1.1082006038038101","1.0, 1.0, 1.0, 1.0, 1.0"
clean,assatigue,small,2,wst,KBest_Wst_RGB_Small_Assatigue_k2,0.9111111111111111,0.08314794192830981,10,45,156,/home/brusc/Projects/random_forest/experiments_organized/rgb_clean_kbest/assatigue/small/k2/wst/wst_k2_small_report.json,"R_std, R_WST18_mean","0.8935310449675846, 0.8709164065196129","0.8888888888888888, 1.0, 0.7777777777777778, 0.8888888888888888, 1.0"
