GaussianDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
rgb_clean,mini,assatigue,wst,2,,,FAILED
rgb_clean,mini,assatigue,wst,5,,,FAILED
rgb_clean,mini,assatigue,wst,10,,,FAILED
rgb_clean,mini,assatigue,wst,20,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,2,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,5,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,10,,,FAILED
rgb_clean,mini,assatigue,advanced_stats,20,,,FAILED
rgb_clean,mini,assatigue,hybrid,2,,,FAILED
rgb_clean,mini,assatigue,hybrid,5,,,FAILED
rgb_clean,mini,assatigue,hybrid,10,,,FAILED
rgb_clean,mini,assatigue,hybrid,20,,,FAILED
rgb_clean,mini,popolar,wst,2,,,FAILED
rgb_clean,mini,popolar,wst,5,,,FAILED
rgb_clean,mini,popolar,wst,10,,,FAILED
rgb_clean,mini,popolar,wst,20,,,FAILED
rgb_clean,mini,popolar,advanced_stats,2,,,FAILED
rgb_clean,mini,popolar,advanced_stats,5,,,FAILED
rgb_clean,mini,popolar,advanced_stats,10,,,FAILED
rgb_clean,mini,popolar,advanced_stats,20,,,FAILED
rgb_clean,mini,popolar,hybrid,2,,,FAILED
rgb_clean,mini,popolar,hybrid,5,,,FAILED
rgb_clean,mini,popolar,hybrid,10,,,FAILED
rgb_clean,mini,popolar,hybrid,20,,,FAILED
rgb_clean,mini,sunset,wst,2,,,FAILED
rgb_clean,mini,sunset,wst,5,,,FAILED
rgb_clean,mini,sunset,wst,10,,,FAILED
rgb_clean,mini,sunset,wst,20,,,FAILED
rgb_clean,mini,sunset,advanced_stats,2,,,FAILED
rgb_clean,mini,sunset,advanced_stats,5,,,FAILED
rgb_clean,mini,sunset,advanced_stats,10,,,FAILED
rgb_clean,mini,sunset,advanced_stats,20,,,FAILED
rgb_clean,mini,sunset,hybrid,2,,,FAILED
rgb_clean,mini,sunset,hybrid,5,,,FAILED
rgb_clean,mini,sunset,hybrid,10,,,FAILED
rgb_clean,mini,sunset,hybrid,20,,,FAILED
rgb_clean,small,assatigue,wst,2,,,FAILED
rgb_clean,small,assatigue,wst,5,,,FAILED
rgb_clean,small,assatigue,wst,10,,,FAILED
rgb_clean,small,assatigue,wst,20,,,FAILED
rgb_clean,small,assatigue,advanced_stats,2,,,FAILED
rgb_clean,small,assatigue,advanced_stats,5,,,FAILED
rgb_clean,small,assatigue,advanced_stats,10,,,FAILED
rgb_clean,small,assatigue,advanced_stats,20,,,FAILED
rgb_clean,small,assatigue,hybrid,2,,,FAILED
