RGB Random Forest - Gaussian Experiments Summary
================================================
Generated: Mon Jul 21 20:52:51 CEST 2025
Base Dataset Directory: /home/brusc/Projects/random_forest/datasets
Output Directory: /home/brusc/Projects/random_forest/experiments_organized/gaussian_output

Processed Datasets: rgb_clean rgb_gaussian30 rgb_gaussian50

Experiment Results:
===================

=== rgb_clean ===
✗ rgb_clean_mini_assatigue_wst_k2: FAILED
✗ rgb_clean_mini_assatigue_wst_k5: FAILED
✗ rgb_clean_mini_assatigue_wst_k10: FAILED
✗ rgb_clean_mini_assatigue_wst_k20: FAILED
✗ rgb_clean_mini_assatigue_advanced_stats_k2: FAILED
✗ rgb_clean_mini_assatigue_advanced_stats_k5: FAILED
✗ rgb_clean_mini_assatigue_advanced_stats_k10: FAILED
✗ rgb_clean_mini_assatigue_advanced_stats_k20: FAILED
✗ rgb_clean_mini_assatigue_hybrid_k2: FAILED
✗ rgb_clean_mini_assatigue_hybrid_k5: FAILED
✗ rgb_clean_mini_assatigue_hybrid_k10: FAILED
✗ rgb_clean_mini_assatigue_hybrid_k20: FAILED
✗ rgb_clean_mini_popolar_wst_k2: FAILED
✗ rgb_clean_mini_popolar_wst_k5: FAILED
✗ rgb_clean_mini_popolar_wst_k10: FAILED
✗ rgb_clean_mini_popolar_wst_k20: FAILED
✗ rgb_clean_mini_popolar_advanced_stats_k2: FAILED
✗ rgb_clean_mini_popolar_advanced_stats_k5: FAILED
✗ rgb_clean_mini_popolar_advanced_stats_k10: FAILED
✗ rgb_clean_mini_popolar_advanced_stats_k20: FAILED
✗ rgb_clean_mini_popolar_hybrid_k2: FAILED
✗ rgb_clean_mini_popolar_hybrid_k5: FAILED
✗ rgb_clean_mini_popolar_hybrid_k10: FAILED
✗ rgb_clean_mini_popolar_hybrid_k20: FAILED
✗ rgb_clean_mini_sunset_wst_k2: FAILED
✗ rgb_clean_mini_sunset_wst_k5: FAILED
✗ rgb_clean_mini_sunset_wst_k10: FAILED
✗ rgb_clean_mini_sunset_wst_k20: FAILED
✗ rgb_clean_mini_sunset_advanced_stats_k2: FAILED
✗ rgb_clean_mini_sunset_advanced_stats_k5: FAILED
✗ rgb_clean_mini_sunset_advanced_stats_k10: FAILED
✗ rgb_clean_mini_sunset_advanced_stats_k20: FAILED
✗ rgb_clean_mini_sunset_hybrid_k2: FAILED
✗ rgb_clean_mini_sunset_hybrid_k5: FAILED
✗ rgb_clean_mini_sunset_hybrid_k10: FAILED
✗ rgb_clean_mini_sunset_hybrid_k20: FAILED
✗ rgb_clean_small_assatigue_wst_k2: FAILED
✗ rgb_clean_small_assatigue_wst_k5: FAILED
✗ rgb_clean_small_assatigue_wst_k10: FAILED
✗ rgb_clean_small_assatigue_wst_k20: FAILED
✗ rgb_clean_small_assatigue_advanced_stats_k2: FAILED
✗ rgb_clean_small_assatigue_advanced_stats_k5: FAILED
✗ rgb_clean_small_assatigue_advanced_stats_k10: FAILED
✗ rgb_clean_small_assatigue_advanced_stats_k20: FAILED
✗ rgb_clean_small_assatigue_hybrid_k2: FAILED
✗ rgb_clean_small_assatigue_hybrid_k5: FAILED
✗ rgb_clean_small_assatigue_hybrid_k10: FAILED
✗ rgb_clean_small_assatigue_hybrid_k20: FAILED
✗ rgb_clean_small_popolar_wst_k2: FAILED
✗ rgb_clean_small_popolar_wst_k5: FAILED
✗ rgb_clean_small_popolar_wst_k10: FAILED
✗ rgb_clean_small_popolar_wst_k20: FAILED
✗ rgb_clean_small_popolar_advanced_stats_k2: FAILED
✗ rgb_clean_small_popolar_advanced_stats_k5: FAILED
✗ rgb_clean_small_popolar_advanced_stats_k10: FAILED
✗ rgb_clean_small_popolar_advanced_stats_k20: FAILED
