noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
poisson40,assatigue,mini,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.3333333333333333,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k2/advanced_stats/experiment_report_with_model.json,"R_max, B_max","1.830877085877086, 1.4709177859177864","0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333"
poisson40,assatigue,mini,2,wst,wst_assatigue_k2_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k2/wst/experiment_report_with_model.json,"B_wst_mean_67, B_wst_std_49","0.9660067710067715, 0.937594072594073","1.0, 1.0, 1.0, 0.6666666666666666, 1.0"
poisson40,assatigue,mini,2,hybrid,hybrid_assatigue_k2_WithModel,0.6,0.24944382578492943,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k2/hybrid/experiment_report_with_model.json,"R_min, R_max","1.0483612683612686, 1.4269939319939327","0.3333333333333333, 0.6666666666666666, 1.0, 0.6666666666666666, 0.3333333333333333"
poisson40,assatigue,mini,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.7333333333333333,0.24944382578492943,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k5/advanced_stats/experiment_report_with_model.json,"R_min, R_max, R_range, B_min, B_max","0.9975147075147079, 1.6473361823361827, 0.9483612683612686, 1.1779908979908984, 1.4400993450993456","0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.3333333333333333"
poisson40,assatigue,mini,5,wst,wst_assatigue_k5_WithModel,0.8666666666666666,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k5/wst/experiment_report_with_model.json,"B_wst_mean_46, B_wst_mean_48, B_wst_mean_67, B_wst_mean_76, B_wst_mean_79","0.9509274059274062, 0.9320385170385175, 1.032673437673438, 0.9487051837051843, 0.9731496281496286","1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 1.0"
poisson40,assatigue,mini,5,hybrid,hybrid_assatigue_k5_WithModel,0.9333333333333332,0.13333333333333336,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k5/hybrid/experiment_report_with_model.json,"R_min, R_max, B_max, B_wst_mean_67, B_wst_mean_78","0.973070263070263, 1.6188681688681692, 1.5171587671587674, 1.010451215451216, 0.9558480408480412","1.0, 0.6666666666666666, 1.0, 1.0, 1.0"
poisson40,assatigue,mini,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9333333333333332,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k10/advanced_stats/experiment_report_with_model.json,"R_std, R_min, R_max, R_mad, G_var, B_min, B_max, B_cv, B_p10, B_p50","0.8091813741813749, 1.1325940725940726, 1.4129198579198583, 0.770292485292486, 0.8002924852924855, 1.2168797868797876, 1.2930053280053284, 0.8175147075147078, 0.8709274059274061, 0.8725147075147079","1.0, 0.6666666666666666, 1.0, 1.0, 1.0"
poisson40,assatigue,mini,10,wst,wst_assatigue_k10_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k10/wst/experiment_report_with_model.json,"R_wst_mean_55, G_wst_std_58, B_wst_mean_22, B_wst_mean_28, B_wst_mean_44, B_wst_mean_46, B_wst_mean_56, B_wst_mean_67, B_wst_mean_78, B_wst_std_49","0.8992607392607397, 0.9098162948162951, 0.898705183705184, 0.8982289932289935, 0.9114035964035969, 0.9153718503718504, 0.937594072594073, 0.9882289932289938, 0.9558480408480412, 0.9120385170385175","1.0, 1.0, 1.0, 0.6666666666666666, 1.0"
poisson40,assatigue,mini,10,hybrid,hybrid_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k10/hybrid/experiment_report_with_model.json,"R_min, R_max, R_range, B_wst_mean_41, B_wst_mean_44, B_wst_mean_46, B_wst_mean_48, B_wst_mean_56, B_wst_mean_67, B_wst_mean_79","1.111959151959152, 1.90998001998002, 1.002964442964443, 0.9114035964035967, 0.9086258186258191, 0.9731496281496286, 0.9320385170385177, 0.9375940725940732, 0.9882289932289936, 0.9287051837051841","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
poisson40,assatigue,mini,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.9333333333333333,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/poisson_output/dataset_rgb_poisson_40/assatigue/mini/k20/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, R_max, R_cv, R_mad, G_std, G_var, G_min, G_range, G_iqr, G_mad, B_mean, B_min, B_cv, B_p10, B_p25, B_p50, B_p75, B_p90","0.805213120213121, 0.7369591519591525, 0.9339168239168243, 1.2572866022866025, 0.65973692973693, 0.7091813741813748, 0.8286258186258191, 0.8391813741813745, 0.7480702630702634, 0.7536258186258187, 0.840602730602731, 0.7652924852924852, 0.8687051837051842, 1.197435342435343, 0.7869591519591526, 0.9064829614829621, 0.7536258186258191, 0.7902924852924857, 0.6791813741813748, 0.6710596810596814","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
