noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
saltpepper5,assatigue,mini,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.9333333333333333,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k2/advanced_stats/experiment_report_with_model.json,"R_iqr, G_iqr","1.0203718503718506, 1.4342607392607398","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,2,wst,wst_assatigue_k2_WithModel,0.7999999999999999,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k2/wst/experiment_report_with_model.json,"B_wst_mean_0, B_wst_mean_11","0.8909274059274066, 0.9064829614829619","1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666"
saltpepper5,assatigue,mini,2,hybrid,hybrid_assatigue_k2_WithModel,0.9333333333333333,0.13333333333333336,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k2/hybrid/experiment_report_with_model.json,"G_iqr, G_mad","1.0148162948162953, 1.0287051837051842","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.9333333333333333,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k5/advanced_stats/experiment_report_with_model.json,"R_iqr, R_mad, G_iqr, G_mad, B_p10","1.0731496281496287, 0.9453718503718507, 1.0009274059274065, 0.9898162948162952, 0.976482961482962","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,5,wst,wst_assatigue_k5_WithModel,1.0,0.0,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k5/wst/experiment_report_with_model.json,"R_wst_mean_11, B_wst_mean_0, B_wst_mean_11, B_wst_mean_36, B_wst_mean_52","0.831482961482962, 0.8520385170385174, 0.967594072594073, 0.9382289932289938, 0.8036258186258192","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,mini,5,hybrid,hybrid_assatigue_k5_WithModel,0.9333333333333333,0.13333333333333336,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k5/hybrid/experiment_report_with_model.json,"R_iqr, R_mad, G_iqr, G_mad, B_grad_mean","1.0509274059274065, 0.9398162948162949, 1.3814829614829618, 0.9620385170385173, 0.9431496281496285","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9333333333333333,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k10/advanced_stats/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_p10, G_iqr, G_mad, G_grad_mean, B_cv, B_p10","0.9042607392607396, 0.9398162948162956, 0.953705183705184, 0.9004512154512159, 0.9231496281496283, 1.389816294816295, 0.9842607392607399, 0.8893401043401048, 0.8947369297369303, 0.9453718503718507","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,10,wst,wst_assatigue_k10_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k10/wst/experiment_report_with_model.json,"R_wst_mean_11, B_wst_mean_0, B_wst_mean_11, B_wst_mean_36, B_wst_mean_37, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_58, B_wst_mean_69","0.7907422207422212, 0.8075940725940731, 0.8709274059274066, 0.8471178821178826, 0.7740755540755546, 0.84460224960225, 0.7872501572501578, 0.7681496281496287, 0.7807686757686763, 0.776482961482962","1.0, 1.0, 0.6666666666666666, 1.0, 1.0"
saltpepper5,assatigue,mini,10,hybrid,hybrid_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k10/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_p10, G_iqr, G_mad, B_p10, B_grad_mean, B_wst_mean_36","0.8915623265623269, 0.8953718503718506, 0.9148162948162952, 0.8798162948162951, 0.8620385170385174, 1.014816294816295, 0.8953718503718506, 0.9009274059274064, 0.9209274059274062, 0.8953718503718509","1.0, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.8666666666666666,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k20/advanced_stats/experiment_report_with_model.json,"R_var, R_skew, R_p10, R_iqr, R_mad, R_grad_mean, G_kurt, G_p10, G_p25, G_iqr, G_mad, G_grad_mean, B_mean, B_skew, B_cv, B_p10, B_p25, B_p50, B_mad, B_grad_mean","0.730768675768676, 0.6620385170385175, 0.8542607392607395, 1.006482961482962, 0.9592607392607397, 0.8693401043401046, 0.8002924852924855, 0.9064829614829621, 0.6587051837051843, 1.2120385170385175, 0.967594072594073, 0.8226734376734377, 0.8036258186258192, 0.8147369297369302, 0.8780702630702637, 0.976482961482962, 0.7820385170385176, 0.6680702630702637, 0.7057686757686759, 0.8264829614829619","1.0, 1.0, 0.6666666666666666, 1.0, 0.6666666666666666"
saltpepper5,assatigue,mini,20,wst,wst_assatigue_k20_WithModel,0.7999999999999999,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k20/wst/experiment_report_with_model.json,"R_wst_mean_10, R_wst_mean_11, B_wst_mean_0, B_wst_mean_10, B_wst_mean_11, B_wst_mean_27, B_wst_mean_31, B_wst_mean_36, B_wst_mean_37, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_52, B_wst_mean_56, B_wst_mean_58, B_wst_mean_64, B_wst_mean_67, B_wst_mean_69, B_wst_mean_72, B_wst_std_36","0.7553718503718507, 0.8592607392607394, 0.82426073926074, 0.7258480408480417, 0.8981496281496284, 0.7101073001073006, 0.7531496281496286, 0.8493401043401048, 0.6896311096311099, 0.7834911384911389, 0.7391020091020097, 0.7209274059274062, 0.7308480408480416, 0.758491138491139, 0.7680702630702638, 0.7245517445517451, 0.6968797868797876, 0.7459274059274061, 0.7498162948162952, 0.7159274059274066","1.0, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666"
saltpepper5,assatigue,mini,20,hybrid,hybrid_assatigue_k20_WithModel,0.9333333333333333,0.13333333333333336,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/mini/k20/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_p10, G_iqr, G_mad, G_grad_mean, B_mean, B_skew, B_cv, B_p10, B_p25, B_grad_mean, R_wst_mean_11, B_wst_mean_11, B_wst_mean_36, B_wst_mean_48, B_wst_mean_52, B_wst_mean_69","0.8748956598956603, 0.9842607392607399, 0.9453718503718509, 0.9304512154512159, 0.9620385170385173, 1.0231496281496286, 1.006482961482962, 0.8893401043401048, 0.788149628149629, 0.8169591519591528, 0.9036258186258193, 1.0120385170385173, 0.851482961482962, 0.8891813741813746, 0.8203718503718511, 0.8620385170385174, 0.869340104340105, 0.815371850371851, 0.8225147075147081, 0.815371850371851","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,assatigue,small,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,1.0,0.0,10,45,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k2/advanced_stats/experiment_report_with_model.json,"R_mad, G_mad","1.1211635667667732, 1.1211635667667732","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,2,wst,wst_assatigue_k2_WithModel,0.8666666666666666,0.04444444444444442,10,45,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k2/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0","0.8621561852593917, 0.826659058928932","0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778, 0.8888888888888888"
saltpepper5,assatigue,small,2,hybrid,hybrid_assatigue_k2_WithModel,1.0,0.0,10,45,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k2/hybrid/experiment_report_with_model.json,"R_mad, G_mad","1.1211635667667732, 1.1211635667667732","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,1.0,0.0,10,45,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k5/advanced_stats/experiment_report_with_model.json,"R_iqr, R_mad, G_p10, G_iqr, G_mad","1.1211635667667732, 1.1211635667667732, 0.9151933985907226, 1.1063487519519581, 1.1211635667667732","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,5,wst,wst_assatigue_k5_WithModel,0.8666666666666666,0.0831479419283098,10,45,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k5/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0, B_wst_mean_10, B_wst_mean_12, B_wst_mean_13","0.8621561852593917, 0.826659058928932, 0.7703096059128123, 0.8187873318905383, 0.7565638364317488","0.8888888888888888, 1.0, 0.7777777777777778, 0.7777777777777778, 0.8888888888888888"
saltpepper5,assatigue,small,5,hybrid,hybrid_assatigue_k5_WithModel,1.0,0.0,10,45,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k5/hybrid/experiment_report_with_model.json,"R_iqr, R_mad, G_p10, G_iqr, G_mad","1.1211635667667732, 1.1211635667667732, 0.9151933985907226, 1.1211635667667732, 1.1211635667667732","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,1.0,0.0,10,45,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k10/advanced_stats/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, G_kurt, G_cv, G_p10, G_iqr, G_mad, B_cv, B_p10","0.906778365910984, 1.1211635667667732, 1.1211635667667732, 0.9003785837759077, 0.88719176696164, 0.9151933985907226, 1.1063487519519581, 1.1211635667667732, 0.9051756657788723, 0.8966385456731247","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,10,wst,wst_assatigue_k10_WithModel,0.9111111111111111,0.04444444444444447,10,45,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k10/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_mean_12, R_wst_std_0, G_wst_std_0, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14, B_wst_mean_15","0.7448584521283252, 0.7432619222965013, 0.8621561852593917, 0.826659058928932, 0.7703096059128123, 0.7392558779834395, 0.8187873318905383, 0.7565638364317488, 0.6878250684153748, 0.7014509449163879","0.8888888888888888, 0.8888888888888888, 1.0, 0.8888888888888888, 0.8888888888888888"
saltpepper5,assatigue,small,10,hybrid,hybrid_assatigue_k10_WithModel,1.0,0.0,10,45,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k10/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, G_kurt, G_cv, G_p10, G_iqr, G_mad, B_cv, B_p10","0.8978894770220953, 1.1211635667667732, 1.1211635667667732, 0.9003785837759077, 0.88719176696164, 0.9151933985907226, 1.1211635667667732, 1.1211635667667732, 0.9051756657788723, 0.8892311382657174","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,1.0,0.0,10,45,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k20/advanced_stats/experiment_report_with_model.json,"R_mean, R_std, R_var, R_p10, R_p75, R_iqr, R_mad, R_grad_mean, G_skew, G_kurt, G_cv, G_p10, G_p25, G_iqr, G_mad, B_cv, B_p10, B_p25, B_mad, B_grad_mean","0.7510665650031048, 0.7219935301947757, 0.7201416783429242, 0.906778365910984, 0.7275960012704228, 1.1211635667667732, 1.1211635667667732, 0.7930694386726453, 0.8555730461762527, 0.9003785837759077, 0.88719176696164, 0.9151933985907226, 0.8211809567841635, 1.1063487519519581, 1.1211635667667732, 0.9051756657788723, 0.8892311382657174, 0.8419740525772594, 0.7780429836461902, 0.865221114157654","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,small,20,wst,wst_assatigue_k20_WithModel,0.9333333333333332,0.05443310539518176,10,45,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k20/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_mean_9, R_wst_mean_10, R_wst_mean_11, R_wst_mean_12, R_wst_mean_13, R_wst_std_0, G_wst_mean_0, G_wst_mean_12, G_wst_std_0, B_wst_mean_0, B_wst_mean_9, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14, B_wst_mean_15, B_wst_mean_66, B_wst_std_65","0.7448584521283252, 0.6166290090949609, 0.6056423856102442, 0.6167969171911454, 0.7432619222965013, 0.6117683038291986, 0.8621561852593917, 0.6584651540683608, 0.6024500925140834, 0.826659058928932, 0.6377508683540749, 0.6361933826299222, 0.7703096059128123, 0.7392558779834395, 0.8187873318905383, 0.7565638364317488, 0.6878250684153748, 0.7014509449163879, 0.6627057283089348, 0.6286435043604095","0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888"
saltpepper5,assatigue,small,20,hybrid,hybrid_assatigue_k20_WithModel,1.0,0.0,10,45,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/small/k20/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_skew, G_kurt, G_cv, G_p10, G_p25, G_iqr, G_mad, B_cv, B_p10, B_p25, B_mad, B_grad_mean, R_wst_std_0, G_wst_std_0, B_wst_mean_10, B_wst_mean_12","0.9141857733183916, 1.1211635667667732, 1.1211635667667732, 0.7930694386726453, 0.8555730461762527, 0.9003785837759077, 0.88719176696164, 0.9151933985907226, 0.8262314618346684, 1.1063487519519581, 1.1211635667667732, 0.9051756657788723, 0.8966385456731247, 0.8751222007254074, 0.7780429836461902, 0.865221114157654, 0.8621561852593917, 0.826659058928932, 0.7703096059128123, 0.8187873318905383","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,original,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.9913043478260869,0.017391304347826077,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k2/advanced_stats/experiment_report_with_model.json,"G_iqr, G_mad","1.0935791957925276, 1.0964527590109183","1.0, 1.0, 1.0, 0.9565217391304348, 1.0"
saltpepper5,assatigue,original,2,wst,wst_assatigue_k2_WithModel,0.8876811594202898,0.044787064174963614,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k2/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0","0.8854532304705669, 0.8665424408521769","0.9166666666666666, 0.8695652173913043, 0.8260869565217391, 0.8695652173913043, 0.9565217391304348"
saltpepper5,assatigue,original,2,hybrid,hybrid_assatigue_k2_WithModel,0.9913043478260869,0.017391304347826077,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k2/hybrid/experiment_report_with_model.json,"G_iqr, G_mad","1.095303333723562, 1.0964527590109183","1.0, 1.0, 1.0, 0.9565217391304348, 1.0"
saltpepper5,assatigue,original,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,1.0,0.0,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k5/advanced_stats/experiment_report_with_model.json,"R_iqr, R_mad, G_p10, G_iqr, G_mad","1.0865112876470333, 1.0817841182646915, 0.9435081371912053, 1.095303333723562, 1.0964527590109183","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,original,5,wst,wst_assatigue_k5_WithModel,0.8963768115942029,0.035172930723222036,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k5/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12","0.8854532304705669, 0.8665424408521769, 0.7587500809971264, 0.7722361668246871, 0.7597715338572548","0.9166666666666666, 0.8695652173913043, 0.8695652173913043, 0.8695652173913043, 0.9565217391304348"
saltpepper5,assatigue,original,5,hybrid,hybrid_assatigue_k5_WithModel,1.0,0.0,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k5/hybrid/experiment_report_with_model.json,"R_iqr, R_mad, G_p10, G_iqr, G_mad","1.0865112876470333, 1.0817841182646915, 0.9487822309135752, 1.0909108870897362, 1.0964527590109183","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,assatigue,original,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9913043478260869,0.017391304347826077,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k10/advanced_stats/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_kurt, G_p10, G_iqr, G_mad, B_p10, B_grad_mean","0.9143829813972768, 1.0865112876470333, 1.0817841182646915, 0.8883373838327195, 0.8637516563697079, 0.9329253401934263, 1.092142414183332, 1.0964527590109183, 0.9173421314160568, 0.8954349607898402","1.0, 1.0, 1.0, 0.9565217391304348, 1.0"
saltpepper5,assatigue,original,10,wst,wst_assatigue_k10_WithModel,0.8876811594202898,0.044787064174963614,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k10/wst/experiment_report_with_model.json,"R_wst_mean_10, R_wst_mean_11, R_wst_std_0, G_wst_std_0, B_wst_mean_9, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14","0.6872367718504457, 0.679786468895593, 0.8854532304705669, 0.8665424408521769, 0.6911219251159635, 0.7587500809971264, 0.7722361668246871, 0.7597715338572548, 0.6950133727523562, 0.6890574945991024","0.9166666666666666, 0.8260869565217391, 0.8695652173913043, 0.8695652173913043, 0.9565217391304348"
saltpepper5,assatigue,original,10,hybrid,hybrid_assatigue_k10_WithModel,0.9913043478260869,0.017391304347826077,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k10/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, R_mad, R_grad_mean, G_p10, G_iqr, G_mad, B_p10, B_grad_mean, R_wst_std_0","0.9159702829845786, 1.0797584140838148, 1.0817841182646915, 0.8883373838327195, 0.935461326564361, 1.0935791957925276, 1.0964527590109183, 0.9127923229869381, 0.8954349607898402, 0.8854532304705669","1.0, 1.0, 1.0, 0.9565217391304348, 1.0"
saltpepper5,assatigue,original,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.9826086956521738,0.02129991080681023,50,116,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k20/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_p10, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_kurt, G_cv, G_p10, G_p25, G_iqr, G_mad, G_grad_mean, B_cv, B_p10, B_p25, B_mad, B_grad_mean","0.8224186134856366, 0.8217422209126923, 0.9269406105497335, 1.0865112876470333, 1.0817841182646915, 0.8883373838327195, 0.7847672071285601, 0.7826691969938422, 0.8637516563697079, 0.8029175825016039, 0.9319195930669895, 0.7795475258341331, 1.0909108870897362, 1.0964527590109183, 0.7712089773457267, 0.8107617019836542, 0.9072846601516888, 0.7609383417457403, 0.8114833843421245, 0.8954349607898402","1.0, 1.0, 0.9565217391304348, 0.9565217391304348, 1.0"
saltpepper5,assatigue,original,20,wst,wst_assatigue_k20_WithModel,0.8963768115942029,0.044646150147099606,50,116,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k20/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_mean_9, R_wst_mean_10, R_wst_mean_11, R_wst_mean_12, R_wst_mean_14, R_wst_mean_16, R_wst_std_0, G_wst_mean_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_9, B_wst_mean_10, B_wst_mean_11, B_wst_mean_12, B_wst_mean_13, B_wst_mean_14, B_wst_mean_15, B_wst_mean_16, B_wst_std_0","0.6215316441380445, 0.5721513748487548, 0.6872367718504457, 0.679786468895593, 0.5976086433487822, 0.614037497166587, 0.5683308642070888, 0.8854532304705669, 0.6093791286183223, 0.8665424408521769, 0.5865321922176321, 0.6911219251159635, 0.7587500809971264, 0.7722361668246871, 0.7597715338572548, 0.6950133727523562, 0.6890574945991024, 0.6322782172180239, 0.5867948641353475, 0.5817176245497417","0.9166666666666666, 0.8260869565217391, 0.8695652173913043, 0.9130434782608695, 0.9565217391304348"
saltpepper5,assatigue,original,20,hybrid,hybrid_assatigue_k20_WithModel,0.9826086956521738,0.02129991080681023,50,116,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/assatigue/original/k20/hybrid/experiment_report_with_model.json,"R_std, R_var, R_p10, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_kurt, G_cv, G_p10, G_p25, G_iqr, G_mad, B_cv, B_p10, B_mad, B_grad_mean, R_wst_std_0, G_wst_std_0","0.8224186134856366, 0.8217422209126923, 0.9200274805762587, 1.0814825520148494, 1.0817841182646915, 0.8883373838327195, 0.7847672071285601, 0.7826691969938422, 0.8637516563697079, 0.8029175825016039, 0.9365346147066147, 0.7743794898471317, 1.0935791957925276, 1.0964527590109183, 0.8107617019836542, 0.9016837325453166, 0.8114833843421245, 0.8954349607898402, 0.8854532304705669, 0.8665424408521769","1.0, 1.0, 0.9565217391304348, 0.9565217391304348, 1.0"
saltpepper5,popolar,mini,2,advanced_stats,advanced_stats_popolar_k2_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k2/advanced_stats/experiment_report_with_model.json,"R_mad, B_p10","0.9875940725940731, 1.1237845487845493","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,popolar,mini,2,wst,wst_popolar_k2_WithModel,0.8666666666666666,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k2/wst/experiment_report_with_model.json,"R_wst_mean_0, B_wst_mean_0","0.8607133607133612, 0.9370385170385174","0.6666666666666666, 1.0, 1.0, 1.0, 0.6666666666666666"
saltpepper5,popolar,mini,2,hybrid,hybrid_popolar_k2_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k2/hybrid/experiment_report_with_model.json,"R_iqr, B_p25","1.0287051837051842, 1.0271178821178826","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,popolar,mini,5,advanced_stats,advanced_stats_popolar_k5_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k5/advanced_stats/experiment_report_with_model.json,"R_skew, R_iqr, B_p10, B_p25, B_p50","0.9653718503718507, 0.953705183705184, 1.101562326562327, 1.0826734376734382, 0.94960224960225","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,popolar,mini,5,wst,wst_popolar_k5_WithModel,1.0,0.0,3,15,486,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k5/wst/experiment_report_with_model.json,"R_wst_mean_0, R_wst_std_0, G_wst_std_0, B_wst_mean_0, B_wst_mean_62","0.702380027380028, 0.7498162948162954, 0.8109274059274063, 0.8537051837051841, 0.7138615088615092","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,popolar,mini,5,hybrid,hybrid_popolar_k5_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k5/hybrid/experiment_report_with_model.json,"R_p10, R_iqr, B_skew, B_p10, B_p25","0.9981496281496285, 1.006482961482962, 0.9875940725940731, 1.101562326562327, 0.9937845487845489","1.0, 1.0, 1.0, 1.0, 1.0"
saltpepper5,popolar,mini,10,advanced_stats,advanced_stats_popolar_k10_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments/s&p/dataset_rgb_salt_and_pepper_5/popolar/mini/k10/advanced_stats/experiment_report_with_model.json,"R_skew, R_p10, R_iqr, R_mad, G_p10, G_mad, B_mean, B_skew, B_p10, B_p25","0.9125940725940729, 0.9620385170385173, 1.006482961482962, 0.9098162948162953, 0.9231496281496283, 0.9320385170385173, 0.9203718503718508, 0.9193401043401046, 1.012673437673438, 0.9604512154512159","1.0, 1.0, 1.0, 1.0, 1.0"
