noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
clean,mini,2,advanced_stats,1.0,,"R_min, B_min;B_min, B_p10;R_grad_mean, G_grad_mean"
clean,mini,2,hybrid,1.0,,"R_min, B_min;B_min, B_max;G_wst_std_34, G_wst_std_36"
clean,mini,2,wst,0.911111,0.163299,"R_wst_mean_52, R_wst_mean_69;G_wst_mean_15, G_wst_mean_39;R_wst_mean_43, G_wst_std_11"
clean,mini,5,advanced_stats,0.866667,0.153311,"R_min, R_iqr, R_mad, G_max, B_p10;R_min, R_mad, B_min, B_max, B_p25;R_var, R_mad, R_grad_mean, G_grad_mean, B_grad_mean"
clean,mini,5,hybrid,0.933333,0.148316,"R_min, R_mad, G_mad, B_min, B_p10;R_min, G_max, B_min, B_max, B_p10;R_wst_mean_42, R_wst_mean_45, R_wst_std_34, B_wst_std_37, B_wst_std_51"
clean,mini,5,wst,0.911111,0.163299,"R_wst_mean_62, R_wst_mean_68, R_wst_mean_71, G_wst_mean_65, G_wst_mean_71;R_wst_mean_2, R_wst_mean_15, R_wst_mean_70, G_wst_mean_70, B_wst_mean_0;R_wst_mean_36, G_wst_mean_28, G_wst_mean_29, G_wst_std_26, G_wst_std_35"
clean,mini,10,advanced_stats,0.866667,0.148316,"R_min, R_skew, R_iqr, R_mad, R_grad_mean, G_range, G_iqr, G_mad, G_grad_mean, B_min;R_min, R_max, R_iqr, G_max, G_range, G_iqr, G_mad, B_max, B_p10, B_p25;R_std, R_var, R_iqr, R_mad, R_grad_mean, G_grad_mean, B_var, B_iqr, B_mad, B_grad_mean"
clean,mini,10,hybrid,0.955556,0.163299,"R_iqr, G_mad, B_min, R_wst_mean_61, R_wst_mean_65, G_wst_mean_18, G_wst_mean_24, G_wst_mean_62, G_wst_mean_70, G_wst_mean_71;R_min, R_mad, G_min, G_max, G_range, G_iqr, B_min, B_max, B_p10, B_p25;R_wst_mean_3, R_wst_mean_36, R_wst_mean_42, R_wst_std_35, G_wst_mean_28, G_wst_std_27, G_wst_std_36, G_wst_std_37, G_wst_std_45, B_wst_std_37"
clean,mini,10,wst,0.911111,0.163299,"R_wst_mean_6, R_wst_mean_14, R_wst_mean_34, R_wst_mean_35, R_wst_mean_60, G_wst_mean_32, G_wst_mean_69, G_wst_mean_70, G_wst_mean_71, G_wst_mean_79;R_wst_mean_10, R_wst_mean_15, R_wst_mean_49, R_wst_mean_70, R_wst_std_0, G_wst_mean_1, G_wst_mean_9, G_wst_mean_10, G_wst_mean_15, G_wst_std_0;R_wst_mean_45, R_wst_std_48, G_wst_mean_21, G_wst_mean_28, G_wst_mean_36, G_wst_mean_45, G_wst_std_19, G_wst_std_37, G_wst_std_43, B_wst_std_37"
clean,mini,20,advanced_stats,0.888889,0.133333,"R_std, R_var, R_min, R_skew, R_kurt, R_iqr, R_mad, R_grad_mean, G_min, G_range, G_kurt, G_iqr, G_mad, G_grad_mean, B_mean, B_min, B_skew, B_cv, B_p10, B_p25;R_std, R_var, R_min, R_p10, R_p25, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_min, G_range, G_p10, G_mad, G_grad_mean, B_mean, B_min, B_p10, B_p25, B_p50;R_std, R_var, R_max, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_min, G_range, G_iqr, G_grad_mean, B_std, B_var, B_range, B_cv, B_p75, B_iqr, B_mad, B_grad_mean"
