noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
speckle15,assatigue,mini,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.7333333333333332,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k2/advanced_stats/experiment_report_with_model.json,"R_min, B_min","1.1358480408480411, 1.1708480408480413","0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666"
speckle15,assatigue,mini,2,wst,wst_assatigue_k2_WithModel,0.8666666666666666,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k2/wst/experiment_report_with_model.json,"B_wst_mean_54, B_wst_mean_55","0.922514707514708, 0.9209274059274064","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,2,hybrid,hybrid_assatigue_k2_WithModel,0.6666666666666666,0.21081851067789195,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k2/hybrid/experiment_report_with_model.json,"R_max, B_min","1.2726902726902731, 1.1803718503718508","0.6666666666666666, 0.6666666666666666, 1.0, 0.3333333333333333, 0.6666666666666666"
speckle15,assatigue,mini,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.7999999999999999,0.16329931618554525,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k5/advanced_stats/experiment_report_with_model.json,"R_cv, R_iqr, R_mad, B_max, B_p10","0.8981496281496288, 0.815371850371851, 0.8064035964035967, 0.8801474451474454, 0.8464829614829619","0.6666666666666666, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,5,wst,wst_assatigue_k5_WithModel,0.9333333333333333,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k5/wst/experiment_report_with_model.json,"R_wst_std_78, B_wst_mean_19, B_wst_mean_30, B_wst_mean_48, B_wst_std_76","0.9169591519591522, 0.8987051837051838, 0.8987051837051843, 0.9098162948162953, 0.8959274059274063","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,5,hybrid,hybrid_assatigue_k5_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k5/hybrid/experiment_report_with_model.json,"R_min, R_max, B_max, B_wst_mean_40, B_wst_mean_49","1.0969591519591522, 1.3103333703333706, 1.7280630480630481, 0.9464829614829617, 0.9391813741813746","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.9333333333333333,0.13333333333333336,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k10/advanced_stats/experiment_report_with_model.json,"R_std, R_cv, R_iqr, R_mad, B_min, B_max, B_cv, B_p10, B_p25, B_p50","0.8014035964035966, 0.9453718503718509, 0.779816294816295, 0.7996575646575652, 1.1414829614829618, 1.0965503015503018, 0.8191020091020096, 0.7825940725940732, 0.8820385170385172, 0.8687051837051842","1.0, 1.0, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,10,wst,wst_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k10/wst/experiment_report_with_model.json,"B_wst_mean_19, B_wst_mean_20, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_54, B_wst_mean_55, B_wst_mean_56, B_wst_mean_62, B_wst_std_76","0.887594072594073, 0.8720385170385172, 0.9153718503718511, 0.9181496281496284, 0.8842607392607398, 0.9558480408480412, 0.9431496281496285, 0.8764829614829619, 0.886403596403597, 0.9403718503718506","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,10,hybrid,hybrid_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k10/hybrid/experiment_report_with_model.json,"B_min, B_max, B_wst_mean_19, B_wst_mean_20, B_wst_mean_47, B_wst_mean_48, B_wst_mean_54, B_wst_mean_55, B_wst_mean_62, B_wst_std_76","0.9525940725940729, 0.9466008066008067, 0.8987051837051843, 0.9075940725940732, 0.9264829614829619, 0.9064829614829619, 0.9336258186258188, 0.9042607392607396, 0.9336258186258191, 0.9125940725940729","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.7999999999999999,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k20/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, R_max, R_range, R_cv, R_p10, R_iqr, R_mad, G_std, G_var, G_mad, B_mean, B_min, B_max, B_cv, B_p10, B_p25, B_p50, B_p75","0.7869591519591526, 0.7885464535464541, 0.6858480408480414, 1.5884839234839239, 0.6914829614829621, 0.8564829614829619, 0.6587051837051843, 0.883784548784549, 0.7619591519591524, 0.7387051837051841, 0.7331496281496286, 0.6920385170385177, 0.7014035964035972, 0.7557686757686763, 1.1016801716801718, 0.7163242313242317, 0.8931496281496287, 0.9042607392607396, 0.7881496281496285, 0.6958480408480414","1.0, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666"
speckle15,assatigue,mini,20,wst,wst_assatigue_k20_WithModel,0.8666666666666666,0.16329931618554522,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k20/wst/experiment_report_with_model.json,"R_wst_mean_49, R_wst_std_78, B_wst_mean_0, B_wst_mean_18, B_wst_mean_19, B_wst_mean_20, B_wst_mean_21, B_wst_mean_30, B_wst_mean_31, B_wst_mean_40, B_wst_mean_47, B_wst_mean_48, B_wst_mean_49, B_wst_mean_54, B_wst_mean_55, B_wst_mean_56, B_wst_mean_62, B_wst_mean_64, B_wst_mean_76, B_wst_std_76","0.8109274059274063, 0.8891813741813748, 0.8202924852924858, 0.812594072594073, 0.9098162948162953, 0.8275940725940729, 0.829816294816295, 0.9209274059274062, 0.8209274059274063, 0.8709274059274061, 0.9131496281496287, 0.9231496281496285, 0.8375940725940729, 0.8252924852924857, 0.8764829614829619, 0.8353718503718508, 0.8252924852924861, 0.8464829614829619, 0.8487051837051844, 0.9051866651866658","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,mini,20,hybrid,hybrid_assatigue_k20_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/mini/k20/hybrid/experiment_report_with_model.json,"R_max, R_cv, B_max, B_cv, B_p10, R_wst_std_78, B_wst_mean_19, B_wst_mean_20, B_wst_mean_21, B_wst_mean_30, B_wst_mean_31, B_wst_mean_40, B_wst_mean_48, B_wst_mean_49, B_wst_mean_54, B_wst_mean_55, B_wst_mean_57, B_wst_mean_62, B_wst_mean_77, B_wst_std_76","1.5103910903910909, 0.8537051837051841, 0.920489695489696, 0.8307686757686761, 0.8403718503718505, 0.8947369297369301, 0.8987051837051838, 0.8542607392607395, 0.8536258186258192, 0.887594072594073, 0.8598162948162953, 0.9209274059274062, 0.9453718503718507, 0.9487051837051841, 0.8725147075147079, 0.9209274059274062, 0.8842607392607398, 0.8891813741813748, 0.8409274059274066, 0.9348162948162952","1.0, 0.6666666666666666, 1.0, 1.0, 0.6666666666666666"
speckle15,assatigue,small,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,0.9111111111111111,0.08314794192830981,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/small/k2/advanced_stats/experiment_report_with_model.json,"R_cv, G_iqr","0.9358723148088546, 0.9268321574353637","1.0, 1.0, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778"
speckle15,assatigue,small,2,wst,wst_assatigue_k2_WithModel,0.8666666666666666,0.0831479419283098,10,45,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/small/k2/wst/experiment_report_with_model.json,"R_wst_std_0, G_wst_std_0","0.9132672963705029, 0.8543428874460939","0.8888888888888888, 1.0, 0.7777777777777778, 0.8888888888888888, 0.7777777777777778"
speckle15,assatigue,small,2,hybrid,hybrid_assatigue_k2_WithModel,0.9111111111111111,0.08314794192830981,10,45,540,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/small/k2/hybrid/experiment_report_with_model.json,"R_cv, R_wst_std_0","0.9358723148088546, 0.9132672963705029","1.0, 1.0, 0.8888888888888888, 0.8888888888888888, 0.7777777777777778"
speckle15,assatigue,small,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.9555555555555555,0.054433105395181765,10,45,54,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/small/k5/advanced_stats/experiment_report_with_model.json,"R_cv, R_mad, G_cv, G_iqr, B_p10","0.9358723148088546, 0.85795344355665, 0.9068480982846381, 0.924054379657586, 0.864258003194543","1.0, 1.0, 1.0, 0.8888888888888888, 0.8888888888888888"
speckle15,assatigue,small,5,wst,wst_assatigue_k5_WithModel,0.888888888888889,0.07027283689263066,10,45,486,/home/brusc/Projects/random_forest/experiments_organized/speckle_output/dataset_rgb_speckle_15/assatigue/small/k5/wst/experiment_report_with_model.json,"R_wst_mean_3, R_wst_mean_38, R_wst_std_0, G_wst_std_0, B_wst_mean_66","0.7813928436627169, 0.7713840253205653, 0.9132672963705029, 0.8543428874460939, 0.7826883382915448","1.0, 0.8888888888888888, 0.7777777777777778, 0.8888888888888888, 0.8888888888888888"
