noise_condition,dataset_type,k_features,feature_method,mean_accuracy,std_accuracy,selected_features_str
clean,mini,2,advanced_stats,0.977778,0.044444,"R_min, G_max;B_min, B_max;R_grad_mean, G_grad_mean"
clean,mini,2,hybrid,0.955556,0.088889,"R_min, G_mad;R_min, B_min;R_WST9_std, G_WST9_std"
clean,mini,2,wst,0.955556,0.054433,"R_WST19_mean, R_WST23_mean;R_WST0_std, R_WST22_mean;G_WST14_mean, G_WST14_std"
clean,mini,5,advanced_stats,0.977778,0.044444,"R_min, R_iqr, G_iqr, G_mad, B_min;R_min, G_max, G_iqr, B_min, B_max;R_mad, R_grad_mean, G_grad_mean, B_iqr, B_grad_mean"
clean,mini,5,hybrid,0.955556,0.088889,"R_min, R_mad, G_iqr, G_mad, B_min;R_mad, G_min, G_range, G_iqr, B_min;G_grad_mean, R_WST22_mean, G_WST9_mean, G_WST10_std, G_WST13_std"
clean,mini,5,wst,0.933333,0.098878,"R_WST3_mean, R_WST19_mean, R_WST22_mean, R_WST23_mean, G_WST24_mean;G_std, B_mean, G_WST1_mean, G_WST5_mean, G_WST16_mean;G_WST10_std, G_WST14_mean, G_WST14_std, G_WST15_mean, B_WST15_mean"
clean,mini,10,advanced_stats,0.955556,0.088889,"R_min, R_iqr, R_grad_mean, G_min, G_iqr, G_mad, G_grad_mean, B_min, B_max, B_p10;R_min, R_iqr, R_mad, G_range, B_mean, B_min, B_max, B_p10, B_p25, B_p50;R_std, R_var, R_iqr, R_mad, R_grad_mean, G_grad_mean, B_var, B_iqr, B_mad, B_grad_mean"
clean,mini,10,hybrid,0.977778,0.044444,"R_min, R_iqr, R_mad, G_mad, B_min, B_max, R_WST3_mean, R_WST9_mean, R_WST20_mean, R_WST21_mean;R_min, R_iqr, R_mad, G_min, G_max, G_iqr, G_mad, B_max, B_p10, B_p25;R_grad_mean, G_grad_mean, R_WST9_mean, R_WST14_mean, G_WST5_std, G_WST10_mean, G_WST12_std, G_WST13_std, G_WST14_mean, B_WST10_mean"
clean,mini,10,wst,0.911111,0.098878,"R_WST1_mean, R_WST3_mean, R_WST9_mean, R_WST12_mean, R_WST19_mean, R_WST20_mean, R_WST21_mean, G_WST1_mean, G_WST10_mean, G_WST23_mean;R_std, B_mean, R_WST0_std, R_WST1_mean, R_WST4_mean, R_WST15_mean, R_WST22_mean, G_WST0_std, G_WST1_mean, G_WST16_mean;R_WST9_mean, R_WST9_std, R_WST14_mean, R_WST14_std, R_WST22_mean, G_WST9_mean, G_WST9_std, G_WST10_mean, G_WST22_mean, B_WST14_std"
clean,mini,20,advanced_stats,0.911111,0.098878,"R_var, R_min, R_range, R_skew, R_kurt, R_cv, R_iqr, R_mad, R_grad_mean, G_min, G_max, G_kurt, G_iqr, G_mad, G_grad_mean, B_mean, B_min, B_skew, B_p10, B_p25;R_mean, R_std, R_min, R_max, R_p10, R_p75, R_iqr, R_mad, G_min, G_max, G_range, G_iqr, G_mad, B_mean, B_min, B_max, B_cv, B_p10, B_p25, B_p50;R_std, R_var, R_range, R_iqr, R_mad, R_grad_mean, G_std, G_var, G_range, G_iqr, G_grad_mean, B_mean, B_std, B_var, B_max, B_range, B_cv, B_iqr, B_mad, B_grad_mean"
clean,mini,20,hybrid,0.955556,0.054433,"R_min, R_iqr, R_mad, R_grad_mean, G_max, G_mad, G_grad_mean, B_min, B_p10, R_WST1_mean, R_WST9_mean, R_WST10_mean, R_WST19_mean, R_WST21_mean, R_WST22_mean, R_WST23_mean, G_WST9_mean, G_WST12_mean, G_WST23_mean, G_WST24_mean;R_mean, R_min, R_iqr, R_mad, G_std, G_min, G_range, G_iqr, G_mad, B_mean, B_min, B_max, B_p10, B_p25, B_p50, R_WST8_mean, R_WST22_mean, G_WST5_mean, G_WST16_mean, B_WST0_mean;R_grad_mean, G_grad_mean, R_WST6_mean, R_WST10_mean, R_WST10_std, R_WST11_mean, R_WST15_mean, R_WST15_std, R_WST22_mean, G_WST1_mean, G_WST5_mean, G_WST6_mean, G_WST9_std, G_WST10_mean, G_WST14_mean, G_WST22_mean, B_WST10_mean, B_WST10_std, B_WST13_std, B_WST14_std"
clean,mini,20,wst,0.888889,0.108866,"R_WST1_mean, R_WST3_mean, R_WST7_mean, R_WST9_mean, R_WST17_mean, R_WST18_mean, R_WST19_mean, R_WST20_mean, R_WST21_mean, R_WST23_mean, G_WST3_mean, G_WST7_mean, G_WST8_mean, G_WST9_mean, G_WST10_mean, G_WST12_mean, G_WST20_mean, G_WST21_mean, G_WST22_mean, G_WST24_mean;R_mean, R_std, G_std, B_mean, R_WST0_mean, R_WST0_std, R_WST4_mean, R_WST8_mean, R_WST15_mean, R_WST16_mean, R_WST18_mean, R_WST22_mean, R_WST23_mean, G_WST1_mean, G_WST4_mean, G_WST5_mean, G_WST15_mean, G_WST16_mean, G_WST22_mean, B_WST0_mean;R_WST2_std, R_WST9_mean, R_WST15_mean, R_WST22_mean, G_WST5_mean, G_WST6_std, G_WST9_mean, G_WST9_std, G_WST10_mean, G_WST10_std, G_WST13_mean, G_WST14_mean, G_WST15_mean, G_WST15_std, G_WST22_mean, B_WST2_std, B_WST3_mean, B_WST10_std, B_WST22_mean, B_WST23_mean"
clean,original,2,advanced_stats,0.991304,0.017391,"R_iqr, B_min"
clean,original,2,advanced_stats,0.983333,0.033333,"R_var, B_cv"
clean,original,2,advanced_stats,0.991667,0.016667,"G_iqr, B_min"
clean,original,2,hybrid,0.991304,0.017391,"R_iqr, B_min"
clean,original,2,hybrid,0.941667,0.056519,"R_WST0_std, B_WST5_std"
clean,original,2,hybrid,0.991667,0.016667,"G_iqr, B_min"
clean,original,2,wst,0.991304,0.017391,"G_std, R_WST3_mean"
clean,original,2,wst,0.941667,0.056519,"R_WST0_std, B_WST5_std"
clean,original,2,wst,0.925333,0.041102,"R_std, G_std"
clean,original,5,advanced_stats,1.0,0.0,"R_min, R_iqr, G_iqr, G_mad, B_min"
clean,original,5,advanced_stats,0.975,0.05,"R_std, R_var, R_mad, B_cv, B_grad_mean"
clean,original,5,advanced_stats,1.0,0.0,"R_iqr, G_iqr, G_mad, B_min, B_p10"
clean,original,5,hybrid,0.991667,0.016667,"R_min, R_iqr, G_min, G_iqr, B_min"
clean,original,5,hybrid,0.95,0.040825,"R_WST0_std, G_WST2_mean, G_WST15_mean, B_WST5_std, B_WST16_mean"
clean,original,5,hybrid,1.0,0.0,"R_iqr, G_iqr, G_mad, B_min, B_p10"
clean,original,5,wst,0.982609,0.0213,"R_std, G_std, R_WST3_mean, R_WST19_mean, G_WST0_std"
clean,original,5,wst,0.95,0.040825,"R_WST0_std, G_WST2_mean, G_WST15_mean, B_WST5_std, B_WST16_mean"
clean,original,5,wst,0.983667,0.020011,"R_std, G_std, R_WST0_std, R_WST8_mean, G_WST0_std"
clean,original,10,advanced_stats,1.0,0.0,"R_min, R_cv, R_iqr, R_mad, G_std, G_min, G_cv, G_iqr, G_mad, B_min"
clean,original,10,advanced_stats,0.983333,0.033333,"R_std, R_var, R_iqr, R_mad, R_grad_mean, G_range, G_mad, G_grad_mean, B_cv, B_grad_mean"
clean,original,10,advanced_stats,0.991667,0.016667,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10"
clean,original,10,hybrid,1.0,0.0,"R_min, R_cv, R_iqr, R_mad, G_min, G_cv, G_iqr, G_mad, B_min, R_WST3_mean"
clean,original,10,hybrid,0.966667,0.03118,"R_var, B_cv, R_WST0_std, G_WST2_mean, G_WST6_mean, G_WST14_mean, G_WST15_mean, B_WST2_mean, B_WST5_std, B_WST16_mean"
clean,original,10,hybrid,0.991667,0.016667,"R_min, R_p10, R_iqr, R_mad, G_min, G_iqr, G_mad, B_min, B_cv, B_p10"
clean,original,10,wst,0.974275,0.034609,"R_std, G_std, R_WST0_std, R_WST3_mean, R_WST18_mean, R_WST19_mean, R_WST20_mean, G_WST0_std, G_WST18_mean, G_WST19_mean"
clean,original,10,wst,0.941667,0.042492,"R_std, R_WST0_std, G_WST2_mean, G_WST6_mean, G_WST14_mean, G_WST15_mean, B_WST1_mean, B_WST2_mean, B_WST5_std, B_WST16_mean"
clean,original,10,wst,0.983667,0.020011,"R_std, G_std, B_mean, R_WST0_std, R_WST4_mean, R_WST5_mean, R_WST8_mean, G_WST0_std, B_WST0_mean, B_WST0_std"
