noise_condition,area,dataset_type,k_features,feature_method,experiment_name,mean_accuracy,std_accuracy,n_estimators,total_images,total_features_available,file_path,selected_features_str,feature_scores_str,cv_scores_str
uniform10,assatigue,mini,2,advanced_stats,advanced_stats_assatigue_k2_WithModel,1.0,0.0,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k2/advanced_stats/experiment_report_with_model.json,"R_min, B_min","1.4064829614829617, 1.1842607392607398","1.0, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,2,wst,wst_assatigue_k2_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k2/wst/experiment_report_with_model.json,"G_wst_mean_70, G_wst_mean_71","0.9287051837051843, 0.9987051837051841","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,2,hybrid,hybrid_assatigue_k2_WithModel,1.0,0.0,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k2/hybrid/experiment_report_with_model.json,"R_min, B_min","1.3453718503718506, 1.3842607392607396","1.0, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,5,advanced_stats,advanced_stats_assatigue_k5_WithModel,0.8666666666666666,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k5/advanced_stats/experiment_report_with_model.json,"R_min, R_iqr, R_grad_mean, G_min, B_min","1.353705183705184, 0.9842607392607399, 0.9391813741813746, 0.9114035964035969, 0.9231496281496288","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
uniform10,assatigue,mini,5,wst,wst_assatigue_k5_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k5/wst/experiment_report_with_model.json,"R_wst_mean_2, R_wst_mean_14, G_wst_mean_2, G_wst_mean_70, G_wst_mean_71","0.9042607392607398, 0.937594072594073, 0.9114035964035969, 0.9453718503718509, 0.9320385170385175","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,5,hybrid,hybrid_assatigue_k5_WithModel,0.9333333333333332,0.13333333333333336,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k5/hybrid/experiment_report_with_model.json,"R_min, R_iqr, G_iqr, G_mad, B_min","1.128705183705184, 0.9620385170385173, 1.3431496281496287, 0.9731496281496286, 1.2287051837051841","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,10,advanced_stats,advanced_stats_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k10/advanced_stats/experiment_report_with_model.json,"R_min, R_iqr, R_mad, R_grad_mean, G_min, G_iqr, G_mad, G_grad_mean, B_min, B_p25","1.300927405927406, 1.0731496281496287, 0.8564829614829619, 0.9169591519591525, 0.8808480408480412, 0.9903718503718506, 0.9620385170385173, 0.9042607392607396, 1.4342607392607396, 0.8848162948162952","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
uniform10,assatigue,mini,10,wst,wst_assatigue_k10_WithModel,0.9333333333333332,0.13333333333333336,3,15,486,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k10/wst/experiment_report_with_model.json,"R_wst_mean_2, R_wst_mean_6, R_wst_mean_7, R_wst_mean_14, R_wst_mean_15, R_wst_mean_68, G_wst_mean_2, G_wst_mean_70, G_wst_mean_71, G_wst_std_29","0.9487051837051841, 0.9153718503718511, 0.8687051837051842, 0.9598162948162954, 0.9153718503718509, 0.9002924852924858, 0.9558480408480412, 0.8620385170385174, 0.8764829614829619, 0.9653718503718507","0.6666666666666666, 1.0, 1.0, 1.0, 1.0"
uniform10,assatigue,mini,10,hybrid,hybrid_assatigue_k10_WithModel,0.8666666666666666,0.16329931618554522,3,15,540,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k10/hybrid/experiment_report_with_model.json,"R_min, R_iqr, R_mad, G_min, B_min, B_p10, R_wst_mean_2, R_wst_mean_14, R_wst_mean_62, G_wst_mean_71","1.1009274059274063, 0.9620385170385173, 0.9009274059274064, 0.8891813741813746, 0.9009274059274064, 0.8931496281496287, 0.8820385170385177, 0.898705183705184, 0.9187051837051841, 0.898705183705184","0.6666666666666666, 1.0, 1.0, 0.6666666666666666, 1.0"
uniform10,assatigue,mini,20,advanced_stats,advanced_stats_assatigue_k20_WithModel,0.8,0.16329931618554522,3,15,54,/home/brusc/Projects/random_forest/experiments_organized/uniform_output/dataset_rgb_uniform_10/assatigue/mini/k20/advanced_stats/experiment_report_with_model.json,"R_std, R_var, R_min, R_max, R_range, R_cv, R_p10, R_iqr, R_mad, R_grad_mean, G_std, G_min, G_iqr, G_mad, G_grad_mean, B_mean, B_min, B_cv, B_p10, B_p25","0.7387051837051839, 0.7381496281496289, 1.3842607392607396, 0.820547415547416, 0.7674353424353428, 0.8598162948162953, 0.7675940725940731, 0.9842607392607399, 0.9898162948162952, 0.9209274059274062, 0.7392607392607395, 0.8947369297369303, 1.3431496281496285, 0.9231496281496283, 0.887594072594073, 0.7825940725940728, 1.1148162948162952, 0.7474353424353426, 0.898705183705184, 0.8598162948162953","0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0"
