UniformDataset,Dataset,Area,FeatureMethod,K,Accuracy,StdDev,Status
dataset_rgb_uniform_10,mini,assatigue,wst,2,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,wst,5,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,wst,10,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,wst,20,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,hybrid,2,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,hybrid,5,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,hybrid,10,,,FAILED
dataset_rgb_uniform_10,mini,assatigue,hybrid,20,,,FAILED
dataset_rgb_uniform_10,mini,popolar,wst,2,,,FAILED
dataset_rgb_uniform_10,mini,popolar,wst,5,,,FAILED
dataset_rgb_uniform_10,mini,popolar,wst,10,,,FAILED
dataset_rgb_uniform_10,mini,popolar,wst,20,,,FAILED
dataset_rgb_uniform_10,mini,popolar,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,mini,popolar,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,mini,popolar,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,mini,popolar,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,mini,popolar,hybrid,2,,,FAILED
dataset_rgb_uniform_10,mini,popolar,hybrid,5,,,FAILED
dataset_rgb_uniform_10,mini,popolar,hybrid,10,,,FAILED
dataset_rgb_uniform_10,mini,popolar,hybrid,20,,,FAILED
dataset_rgb_uniform_10,mini,sunset,wst,2,,,FAILED
dataset_rgb_uniform_10,mini,sunset,wst,5,,,FAILED
dataset_rgb_uniform_10,mini,sunset,wst,10,,,FAILED
dataset_rgb_uniform_10,mini,sunset,wst,20,,,FAILED
dataset_rgb_uniform_10,mini,sunset,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,mini,sunset,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,mini,sunset,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,mini,sunset,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,mini,sunset,hybrid,2,,,FAILED
dataset_rgb_uniform_10,mini,sunset,hybrid,5,,,FAILED
dataset_rgb_uniform_10,mini,sunset,hybrid,10,,,FAILED
dataset_rgb_uniform_10,mini,sunset,hybrid,20,,,FAILED
dataset_rgb_uniform_10,small,assatigue,wst,2,,,FAILED
dataset_rgb_uniform_10,small,assatigue,wst,5,,,FAILED
dataset_rgb_uniform_10,small,assatigue,wst,10,,,FAILED
dataset_rgb_uniform_10,small,assatigue,wst,20,,,FAILED
dataset_rgb_uniform_10,small,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,small,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,small,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,small,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,small,assatigue,hybrid,2,,,FAILED
dataset_rgb_uniform_10,small,assatigue,hybrid,5,,,FAILED
dataset_rgb_uniform_10,small,assatigue,hybrid,10,,,FAILED
dataset_rgb_uniform_10,small,assatigue,hybrid,20,,,FAILED
dataset_rgb_uniform_10,small,popolar,wst,2,,,FAILED
dataset_rgb_uniform_10,small,popolar,wst,5,,,FAILED
dataset_rgb_uniform_10,small,popolar,wst,10,,,FAILED
dataset_rgb_uniform_10,small,popolar,wst,20,,,FAILED
dataset_rgb_uniform_10,small,popolar,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,small,popolar,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,small,popolar,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,small,popolar,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,small,popolar,hybrid,2,,,FAILED
dataset_rgb_uniform_10,small,popolar,hybrid,5,,,FAILED
dataset_rgb_uniform_10,small,popolar,hybrid,10,,,FAILED
dataset_rgb_uniform_10,small,popolar,hybrid,20,,,FAILED
dataset_rgb_uniform_10,small,sunset,wst,2,,,FAILED
dataset_rgb_uniform_10,small,sunset,wst,5,,,FAILED
dataset_rgb_uniform_10,small,sunset,wst,10,,,FAILED
dataset_rgb_uniform_10,small,sunset,wst,20,,,FAILED
dataset_rgb_uniform_10,small,sunset,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,small,sunset,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,small,sunset,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,small,sunset,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,small,sunset,hybrid,2,,,FAILED
dataset_rgb_uniform_10,small,sunset,hybrid,5,,,FAILED
dataset_rgb_uniform_10,small,sunset,hybrid,10,,,FAILED
dataset_rgb_uniform_10,small,sunset,hybrid,20,,,FAILED
dataset_rgb_uniform_10,original,assatigue,wst,2,,,FAILED
dataset_rgb_uniform_10,original,assatigue,wst,5,,,FAILED
dataset_rgb_uniform_10,original,assatigue,wst,10,,,FAILED
dataset_rgb_uniform_10,original,assatigue,wst,20,,,FAILED
dataset_rgb_uniform_10,original,assatigue,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,original,assatigue,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,original,assatigue,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,original,assatigue,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,original,assatigue,hybrid,2,,,FAILED
dataset_rgb_uniform_10,original,assatigue,hybrid,5,,,FAILED
dataset_rgb_uniform_10,original,assatigue,hybrid,10,,,FAILED
dataset_rgb_uniform_10,original,assatigue,hybrid,20,,,FAILED
dataset_rgb_uniform_10,original,popolar,wst,2,,,FAILED
dataset_rgb_uniform_10,original,popolar,wst,5,,,FAILED
dataset_rgb_uniform_10,original,popolar,wst,10,,,FAILED
dataset_rgb_uniform_10,original,popolar,wst,20,,,FAILED
dataset_rgb_uniform_10,original,popolar,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,original,popolar,advanced_stats,5,,,FAILED
dataset_rgb_uniform_10,original,popolar,advanced_stats,10,,,FAILED
dataset_rgb_uniform_10,original,popolar,advanced_stats,20,,,FAILED
dataset_rgb_uniform_10,original,popolar,hybrid,2,,,FAILED
dataset_rgb_uniform_10,original,popolar,hybrid,5,,,FAILED
dataset_rgb_uniform_10,original,popolar,hybrid,10,,,FAILED
dataset_rgb_uniform_10,original,popolar,hybrid,20,,,FAILED
dataset_rgb_uniform_10,original,sunset,wst,2,,,FAILED
dataset_rgb_uniform_10,original,sunset,wst,5,,,FAILED
dataset_rgb_uniform_10,original,sunset,wst,10,,,FAILED
dataset_rgb_uniform_10,original,sunset,wst,20,,,FAILED
dataset_rgb_uniform_10,original,sunset,advanced_stats,2,,,FAILED
dataset_rgb_uniform_10,original,sunset,advanced_stats,5,,,FAILED
